GENE NAME,PARAGRAPH 1 (Gene Association),PARAGRAPH 2 (Gene Condition),PARAGRAPH 3 (Gene Condition Overflow),A2M CURVE,A2M REQUESTS,HideA2MCharts,SQL,Concatenated
CEBPA,The CEBPA gene is associated with autosomal dominant predisposition to familial acute myeloid leukemia (AML) (MedGen UID: 9730).,"Familial AML is characterized by multiple diagnoses of this cancer type within a family. The age at diagnosis can be variable; however, it appears to have an earlier onset than sporadic cases (PMID: 18946494, 26162409).",,NO,,,"('CEBPA', 'The CEBPA gene is associated with autosomal dominant predisposition to familial acute myeloid leukemia (AML) (MedGen UID: 9730).', 'Familial AML is characterized by multiple diagnoses of this cancer type within a family. The age at diagnosis can be variable; however, it appears to have an earlier onset than sporadic cases (PMID: 18946494, 26162409).', '', '0', NULL),","The CEBPA gene is associated with autosomal dominant predisposition to familial acute myeloid leukemia (AML) (MedGen UID: 9730).  Familial AML is characterized by multiple diagnoses of this cancer type within a family. The age at diagnosis can be variable; however, it appears to have an earlier onset than sporadic cases (PMID: 18946494, 26162409)."
CFTR,"The CFTR gene is associated with autosomal recessive cystic fibrosis (CF) (MedGen UID: 41393) and congenital bilateral absence of the vas deferens (CBAVD) (MedGen UID: 98021). Additionally, CFTR is associated with an increased risk for chronic pancreatitis (PMID: 17003641, 11729110).","Cystic fibrosis (CF) is usually a childhood onset disease characterized by the buildup of mucus that can damage the digestive and respiratory systems. Milder forms of CFTR-related disorders include congenital absence of the vas deferens (CAVD) (MedGen UID: 430259) associated with infertility, respiratory manifestations, and hereditary pancreatitis (MedGen UID: 116056). Pathogenic variants in CFTR may confer an approximately 4-10 fold increased risk for chronic pancreatitis in heterozygous carriers (PMID: 20977904, 21520337, 11729110), although the absolute risk of pancreatitis remains low (less than 1 in 100; PMID: 31882447). Hereditary pancreatitis is characterized by recurrent episodes of acute inflammation of the pancreas (pancreatitis) beginning in childhood or adolescence leading to chronic pancreatitis. Chronic pancreatitis is a risk factor for pancreatic cancer (PMID: 25170203). The combination of variants identified in an affected individual impacts the observed clinical features and severity of the disorders (PMID: 20301428, 24624459).",,NO,,,"('CFTR', 'The CFTR gene is associated with autosomal recessive cystic fibrosis (CF) (MedGen UID: 41393) and congenital bilateral absence of the vas deferens (CBAVD) (MedGen UID: 98021). Additionally, CFTR is associated with an increased risk for chronic pancreatitis (PMID: 17003641, 11729110). ', 'Cystic fibrosis (CF) is usually a childhood onset disease characterized by the buildup of mucus that can damage the digestive and respiratory systems. Milder forms of CFTR-related disorders include congenital absence of the vas deferens (CAVD) (MedGen UID: 430259) associated with infertility, respiratory manifestations, and hereditary pancreatitis (MedGen UID: 116056). Pathogenic variants in CFTR may confer an approximately 4-10 fold increased risk for chronic pancreatitis in heterozygous carriers (PMID: 20977904, 21520337, 11729110), although the absolute risk of pancreatitis remains low (less than 1 in 100; PMID: 31882447). Hereditary pancreatitis is characterized by recurrent episodes of acute inflammation of the pancreas (pancreatitis) beginning in childhood or adolescence leading to chronic pancreatitis. Chronic pancreatitis is a risk factor for pancreatic cancer (PMID: 25170203). The combination of variants identified in an affected individual impacts the observed clinical features and severity of the disorders (PMID: 20301428, 24624459).', '', '0', NULL),","The CFTR gene is associated with autosomal recessive cystic fibrosis (CF) (MedGen UID: 41393) and congenital bilateral absence of the vas deferens (CBAVD) (MedGen UID: 98021). Additionally, CFTR is associated with an increased risk for chronic pancreatitis (PMID: 17003641, 11729110).   Cystic fibrosis (CF) is usually a childhood onset disease characterized by the buildup of mucus that can damage the digestive and respiratory systems. Milder forms of CFTR-related disorders include congenital absence of the vas deferens (CAVD) (MedGen UID: 430259) associated with infertility, respiratory manifestations, and hereditary pancreatitis (MedGen UID: 116056). Pathogenic variants in CFTR may confer an approximately 4-10 fold increased risk for chronic pancreatitis in heterozygous carriers (PMID: 20977904, 21520337, 11729110), although the absolute risk of pancreatitis remains low (less than 1 in 100; PMID: 31882447). Hereditary pancreatitis is characterized by recurrent episodes of acute inflammation of the pancreas (pancreatitis) beginning in childhood or adolescence leading to chronic pancreatitis. Chronic pancreatitis is a risk factor for pancreatic cancer (PMID: 25170203). The combination of variants identified in an affected individual impacts the observed clinical features and severity of the disorders (PMID: 20301428, 24624459)."
CHEK2,"The CHEK2 gene is associated with autosomal dominant predisposition to breast, colon, thyroid and prostate cancer (PMID: 15492928, 18759107, 21807500, 21876083, 25431674). Additionally, there is evidence supporting a correlation with CHEK2 and autosomal dominant predisposition to ovarian, renal and urinary tract cancer (PMID: 26681312, 27632928, 26424751, 11719428, 15492928, 29978187); however, the available evidence is insufficient to make a determination regarding these relationships.","The lifetime risk of breast cancer in females with a pathogenic CHEK2 variant is 20-44% (PMID: 18172190, 21876083, 33471974). There is also an increased risk for male breast, colorectal, prostate and thyroid cancers; however, lifetime risks are not established (PMID: 18759107, 21807500, 23713947, 15492928, 25431674). While there is evidence to suggest an increased risk for various primary cancers among homozygotes and compound heterozygotes for most pathogenic CHEK2 variants, these risks are not established (PMID: 30858171, 27900359). For the well-studied c.1100del variant, homozygotes have approximately a 4-6 fold increased risk of breast cancer (PMID: 22058428, 23652375).",,YES,Hide Prostate,"[""Prostate""]","('CHEK2', 'The CHEK2 gene is associated with autosomal dominant predisposition to breast, colon, thyroid and prostate cancer (PMID: 15492928, 18759107, 21807500, 21876083, 25431674). Additionally, there is evidence supporting a correlation with CHEK2 and autosomal dominant predisposition to ovarian, renal and urinary tract cancer (PMID: 26681312, 27632928, 26424751, 11719428, 15492928, 29978187); however, the available evidence is insufficient to make a determination regarding these relationships.', 'The lifetime risk of breast cancer in females with a pathogenic CHEK2 variant is 20-44% (PMID: 18172190, 21876083, 33471974). There is also an increased risk for male breast, colorectal, prostate and thyroid cancers; however, lifetime risks are not established (PMID: 18759107, 21807500, 23713947, 15492928, 25431674). While there is evidence to suggest an increased risk for various primary cancers among homozygotes and compound heterozygotes for most pathogenic CHEK2 variants, these risks are not established (PMID: 30858171, 27900359). For the well-studied c.1100del variant, homozygotes have approximately a 4-6 fold increased risk of breast cancer (PMID: 22058428, 23652375).', '', '0', '[""Prostate""]'),","The CHEK2 gene is associated with autosomal dominant predisposition to breast, colon, thyroid and prostate cancer (PMID: 15492928, 18759107, 21807500, 21876083, 25431674). Additionally, there is evidence supporting a correlation with CHEK2 and autosomal dominant predisposition to ovarian, renal and urinary tract cancer (PMID: 26681312, 27632928, 26424751, 11719428, 15492928, 29978187); however, the available evidence is insufficient to make a determination regarding these relationships.  The lifetime risk of breast cancer in females with a pathogenic CHEK2 variant is 20-44% (PMID: 18172190, 21876083, 33471974). There is also an increased risk for male breast, colorectal, prostate and thyroid cancers; however, lifetime risks are not established (PMID: 18759107, 21807500, 23713947, 15492928, 25431674). While there is evidence to suggest an increased risk for various primary cancers among homozygotes and compound heterozygotes for most pathogenic CHEK2 variants, these risks are not established (PMID: 30858171, 27900359). For the well-studied c.1100del variant, homozygotes have approximately a 4-6 fold increased risk of breast cancer (PMID: 22058428, 23652375)."
CTNNA1,"The CTNNA1 gene is associated with autosomal dominant butterfly-shaped pigmentary macular dystrophy (MedGen UID: 332348). Additionally, CTNNA1 has preliminary evidence supporting a correlation with autosomal dominant hereditary diffuse gastric cancer; however, the available evidence is insufficient to make a determination regarding this relationship (PMID: 23208944, 26182300, 32051609). This result should be considered in the context of personal and family history of diffuse gastric cancer and may warrant additional surveillance (PMID: 32758476). To date, loss-of-function variants in CTNNA1 have not been associated with butterfly-shaped pigmentary macular dystrophy.","Butterfly-shaped pigmentary macular dystrophy is a form of patterned dystrophies of the retinal pigment epithelium, characterized by accumulation of pigment in the macula that resembles the wings of a butterfly (PMID: 12724643). Affected individuals typically present from middle age with mildly reduced visual acuity and color vision. The activity of the RPE measured by electrooculogram (EOG) recordings may be abnormal (PMID: 26691986). Retinitis pigmentosa-like changes have been observed in some cases (PMID: 22466463). The disease is relatively benign, but can progress to atrophy of the choroid and retina, resulting in severe vision loss, though the severity of the disease is highly variable, even within the same family (PMID: 26691986).",,NO,,,"('CTNNA1', 'The CTNNA1 gene is associated with autosomal dominant butterfly-shaped pigmentary macular dystrophy (MedGen UID: 332348). Additionally, CTNNA1 has preliminary evidence supporting a correlation with autosomal dominant hereditary diffuse gastric cancer; however, the available evidence is insufficient to make a determination regarding this relationship (PMID: 23208944, 26182300, 32051609). This result should be considered in the context of personal and family history of diffuse gastric cancer and may warrant additional surveillance (PMID: 32758476). To date, loss-of-function variants in CTNNA1 have not been associated with butterfly-shaped pigmentary macular dystrophy.', 'Butterfly-shaped pigmentary macular dystrophy is a form of patterned dystrophies of the retinal pigment epithelium, characterized by accumulation of pigment in the macula that resembles the wings of a butterfly (PMID: 12724643). Affected individuals typically present from middle age with mildly reduced visual acuity and color vision. The activity of the RPE measured by electrooculogram (EOG) recordings may be abnormal (PMID: 26691986). Retinitis pigmentosa-like changes have been observed in some cases (PMID: 22466463). The disease is relatively benign, but can progress to atrophy of the choroid and retina, resulting in severe vision loss, though the severity of the disease is highly variable, even within the same family (PMID: 26691986).', '', '1', NULL),","The CTNNA1 gene is associated with autosomal dominant butterfly-shaped pigmentary macular dystrophy (MedGen UID: 332348). Additionally, CTNNA1 has preliminary evidence supporting a correlation with autosomal dominant hereditary diffuse gastric cancer; however, the available evidence is insufficient to make a determination regarding this relationship (PMID: 23208944, 26182300, 32051609). This result should be considered in the context of personal and family history of diffuse gastric cancer and may warrant additional surveillance (PMID: 32758476). To date, loss-of-function variants in CTNNA1 have not been associated with butterfly-shaped pigmentary macular dystrophy.  Butterfly-shaped pigmentary macular dystrophy is a form of patterned dystrophies of the retinal pigment epithelium, characterized by accumulation of pigment in the macula that resembles the wings of a butterfly (PMID: 12724643). Affected individuals typically present from middle age with mildly reduced visual acuity and color vision. The activity of the RPE measured by electrooculogram (EOG) recordings may be abnormal (PMID: 26691986). Retinitis pigmentosa-like changes have been observed in some cases (PMID: 22466463). The disease is relatively benign, but can progress to atrophy of the choroid and retina, resulting in severe vision loss, though the severity of the disease is highly variable, even within the same family (PMID: 26691986)."
CTRC,The CTRC gene is associated with an increased risk for chronic pancreatitis (MedGen UID: 116056).,"Chronic and/or hereditary pancreatitis is characterized by recurrent episodes of inflammation of the pancreas (pancreatitis). Penetrance and inheritance patterns of this gene are not well established, but individuals with a pathogenic loss-of-function CTRC variant may have an increased risk for chronic pancreatitis, particularly in the presence of other genetic and environmental risk factors (PMID: 18059268, 18172691, 22942235). Chronic pancreatitis is a risk factor for pancreatic cancer (PMID: 25170203).",,NO,,,"('CTRC', 'The CTRC gene is associated with an increased risk for chronic pancreatitis (MedGen UID: 116056).', 'Chronic and/or hereditary pancreatitis is characterized by recurrent episodes of inflammation of the pancreas (pancreatitis). Penetrance and inheritance patterns of this gene are not well established, but individuals with a pathogenic loss-of-function CTRC variant may have an increased risk for chronic pancreatitis, particularly in the presence of other genetic and environmental risk factors (PMID: 18059268, 18172691, 22942235). Chronic pancreatitis is a risk factor for pancreatic cancer (PMID: 25170203).', '', '0', NULL),","The CTRC gene is associated with an increased risk for chronic pancreatitis (MedGen UID: 116056).  Chronic and/or hereditary pancreatitis is characterized by recurrent episodes of inflammation of the pancreas (pancreatitis). Penetrance and inheritance patterns of this gene are not well established, but individuals with a pathogenic loss-of-function CTRC variant may have an increased risk for chronic pancreatitis, particularly in the presence of other genetic and environmental risk factors (PMID: 18059268, 18172691, 22942235). Chronic pancreatitis is a risk factor for pancreatic cancer (PMID: 25170203)."
DDX41,The DDX41 gene is associated with autosomal dominant familial myeloproliferative/lymphoproliferative neoplasms (MPLPF) (MedGen UID: 895780).,"MPLPF is characterized by hereditary predisposition to adult-onset myeloid malignancies, particularly myelodysplastic syndrome (MDS), acute myeloid leukemia (AML), and in rare cases, lymphoma (PMID: 26712909). The disorder shows incomplete penetrance and the lifetime cancer risk is not known (PMID: 27133828). For information regarding management and surveillance suggestions for individuals with pathogenic variants in DDX41, please refer to PMID: 28600339.",,NO,,,"('DDX41', 'The DDX41 gene is associated with autosomal dominant familial myeloproliferative/lymphoproliferative neoplasms (MPLPF) (MedGen UID: 895780).', 'MPLPF is characterized by hereditary predisposition to adult-onset myeloid malignancies, particularly myelodysplastic syndrome (MDS), acute myeloid leukemia (AML), and in rare cases, lymphoma (PMID: 26712909). The disorder shows incomplete penetrance and the lifetime cancer risk is not known (PMID: 27133828). For information regarding management and surveillance suggestions for individuals with pathogenic variants in DDX41, please refer to PMID: 28600339.', '', '0', NULL),","The DDX41 gene is associated with autosomal dominant familial myeloproliferative/lymphoproliferative neoplasms (MPLPF) (MedGen UID: 895780).  MPLPF is characterized by hereditary predisposition to adult-onset myeloid malignancies, particularly myelodysplastic syndrome (MDS), acute myeloid leukemia (AML), and in rare cases, lymphoma (PMID: 26712909). The disorder shows incomplete penetrance and the lifetime cancer risk is not known (PMID: 27133828). For information regarding management and surveillance suggestions for individuals with pathogenic variants in DDX41, please refer to PMID: 28600339."
DICER1,The DICER1 gene is associated with autosomal dominant DICER1-related pleuropulmonary blastoma familial tumor predisposition syndrome (MedGen UID: 449020).,"DICER1-related pleuropulmonary blastoma familial tumor predisposition syndrome is associated with an increased risk for certain types of rare tumors and cancers that may present in childhood. Noncancerous neoplasias include cystic nephroma, nasal chondromesenchymal hamartomas, thyroid adenomas and goiter. There is also an increased risk of certain malignancies including pleuropulmonary blastoma, ovarian sex cord-stromal tumors, Sertoli-Leydig cell tumors, genitourinary embryonal rhabdomyosarcoma, renal sarcoma, Wilms tumor, thyroid cancer, ciliary body medulloepithelioma, pituitary blastoma and pineoblastoma.",,NO,,,"('DICER1', 'The DICER1 gene is associated with autosomal dominant DICER1-related pleuropulmonary blastoma familial tumor predisposition syndrome (MedGen UID: 449020).', 'DICER1-related pleuropulmonary blastoma familial tumor predisposition syndrome is associated with an increased risk for certain types of rare tumors and cancers that may present in childhood. Noncancerous neoplasias include cystic nephroma, nasal chondromesenchymal hamartomas, thyroid adenomas and goiter. There is also an increased risk of certain malignancies including pleuropulmonary blastoma, ovarian sex cord-stromal tumors, Sertoli-Leydig cell tumors, genitourinary embryonal rhabdomyosarcoma, renal sarcoma, Wilms tumor, thyroid cancer, ciliary body medulloepithelioma, pituitary blastoma and pineoblastoma.', '', '0', NULL),","The DICER1 gene is associated with autosomal dominant DICER1-related pleuropulmonary blastoma familial tumor predisposition syndrome (MedGen UID: 449020).  DICER1-related pleuropulmonary blastoma familial tumor predisposition syndrome is associated with an increased risk for certain types of rare tumors and cancers that may present in childhood. Noncancerous neoplasias include cystic nephroma, nasal chondromesenchymal hamartomas, thyroid adenomas and goiter. There is also an increased risk of certain malignancies including pleuropulmonary blastoma, ovarian sex cord-stromal tumors, Sertoli-Leydig cell tumors, genitourinary embryonal rhabdomyosarcoma, renal sarcoma, Wilms tumor, thyroid cancer, ciliary body medulloepithelioma, pituitary blastoma and pineoblastoma."
DIS3L2,The DIS3L2 gene is associated with autosomal recessive Perlman syndrome (MedGen UID: 162909).,"Perlman syndrome is an overgrowth disorder characterized by macrosomia, renal dysplasia, nephroblastomatosis and Wilms tumor (PMID: 23613427). Affected infants have a high rate of neonatal morbidity; the incidence of Wilms tumor in those who survive the neonatal period has been estimated at 64% (PMID: 18780370).",,NO,,,"('DIS3L2', 'The DIS3L2 gene is associated with autosomal recessive Perlman syndrome (MedGen UID: 162909).', 'Perlman syndrome is an overgrowth disorder characterized by macrosomia, renal dysplasia, nephroblastomatosis and Wilms tumor (PMID: 23613427). Affected infants have a high rate of neonatal morbidity; the incidence of Wilms tumor in those who survive the neonatal period has been estimated at 64% (PMID: 18780370).', '', '0', NULL),","The DIS3L2 gene is associated with autosomal recessive Perlman syndrome (MedGen UID: 162909).  Perlman syndrome is an overgrowth disorder characterized by macrosomia, renal dysplasia, nephroblastomatosis and Wilms tumor (PMID: 23613427). Affected infants have a high rate of neonatal morbidity; the incidence of Wilms tumor in those who survive the neonatal period has been estimated at 64% (PMID: 18780370)."
EGFR,The EGFR gene is associated with autosomal dominant predisposition to lung cancer (MedGen UID: 472093) and autosomal recessive neonatal inflammatory skin and bowel disease (MedGen UID: 863567).,"Pathogenic loss-of-function (LOF) variants in EGFR are associated with neonatal inflammatory skin and bowel disease, a rare condition affecting the skin, hair, kidney, growth, gastrointestinal and respiratory systems. Skin manifestations include erosions, scaling, inflammatory rash and infection. Recurrent respiratory and gastrointestinal infections as well as severe diarrhea and vomiting may occur (PMID: 32602142, 29899996, 26436111, 24691054). LOF variants in EGFR are not known to be associated with autosomal dominant predisposition to lung cancer.

Pathogenic gain-of-function (GOF) EGFR variants are associated with an increased risk of lung cancer (PMID: 16258541, 24736066, 24736080, 21252721, 23380224, 25176975, 18355544, 23358982). One study estimated the risk of lung cancer to be 15-31% (PMID: 24736066), although data are limited. GOF variants in EGFR are not known to be associated with autosomal recessive neonatal inflammatory skin and bowel disease.",,NO,,,"('EGFR', 'The EGFR gene is associated with autosomal dominant predisposition to lung cancer (MedGen UID: 472093) and autosomal recessive neonatal inflammatory skin and bowel disease (MedGen UID: 863567).', 'Pathogenic loss-of-function (LOF) variants in EGFR are associated with neonatal inflammatory skin and bowel disease, a rare condition affecting the skin, hair, kidney, growth, gastrointestinal and respiratory systems. Skin manifestations include erosions, scaling, inflammatory rash and infection. Recurrent respiratory and gastrointestinal infections as well as severe diarrhea and vomiting may occur (PMID: 32602142, 29899996, 26436111, 24691054). LOF variants in EGFR are not known to be associated with autosomal dominant predisposition to lung cancer.

Pathogenic gain-of-function (GOF) EGFR variants are associated with an increased risk of lung cancer (PMID: 16258541, 24736066, 24736080, 21252721, 23380224, 25176975, 18355544, 23358982). One study estimated the risk of lung cancer to be 15-31% (PMID: 24736066), although data are limited. GOF variants in EGFR are not known to be associated with autosomal recessive neonatal inflammatory skin and bowel disease.', '', '0', NULL),","The EGFR gene is associated with autosomal dominant predisposition to lung cancer (MedGen UID: 472093) and autosomal recessive neonatal inflammatory skin and bowel disease (MedGen UID: 863567).  Pathogenic loss-of-function (LOF) variants in EGFR are associated with neonatal inflammatory skin and bowel disease, a rare condition affecting the skin, hair, kidney, growth, gastrointestinal and respiratory systems. Skin manifestations include erosions, scaling, inflammatory rash and infection. Recurrent respiratory and gastrointestinal infections as well as severe diarrhea and vomiting may occur (PMID: 32602142, 29899996, 26436111, 24691054). LOF variants in EGFR are not known to be associated with autosomal dominant predisposition to lung cancer.

Pathogenic gain-of-function (GOF) EGFR variants are associated with an increased risk of lung cancer (PMID: 16258541, 24736066, 24736080, 21252721, 23380224, 25176975, 18355544, 23358982). One study estimated the risk of lung cancer to be 15-31% (PMID: 24736066), although data are limited. GOF variants in EGFR are not known to be associated with autosomal recessive neonatal inflammatory skin and bowel disease."
EPCAM,"Deletions that include exon 9 of the EPCAM gene are known to cause autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer, or HNPCC) (MedGen UID: 412966) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553). EPCAM is also associated with autosomal recessive congenital tufting enteropathy (CTE) (MedGen UID: 413031). The EPCAM gene is associated with autosomal recessive congenital tufting enteropathy (CTE) (MedGen UID: 413031).","Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the uterus/endometrium, ovary, stomach, bladder, biliary tract, urinary tract, prostate, brain and possibly small intestines. Estimated lifetime risks for individuals with a pathogenic variant in MSH2 and/or EPCAM include a 33-52% risk for colorectal cancer, up to a 9% risk for gastric cancer, up to a 1.7% risk for cancer of the biliary tract, a 2-28% risk for urinary tract cancer, a 4-13% risk for bladder cancer and a 3-8% risk for brain/central nervous system cancer. Affected females also have an increased risk of uterine cancer (21-57%) and ovarian cancer (8-38%) while affected males have an elevated risk for prostate cancer (up to 24%) (PMID: 21642682, 28754778, 19900449, 26657901, 31337882, 23091106, 18398828, 27013479).","CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897). Congenital tufting enteropathy (CTE) is a gastrointestinal insufficiency syndrome presenting early in infancy as severe watery diarrhea. CTE is usually treated by daily nutritional supplements and occasionally, intestinal transplantation (PMID: 8057225, 18572020).",NO,,,"('EPCAM', 'Deletions that include exon 9 of the EPCAM gene are known to cause autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer, or HNPCC) (MedGen UID: 412966) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553). EPCAM is also associated with autosomal recessive congenital tufting enteropathy (CTE) (MedGen UID: 413031). The EPCAM gene is associated with autosomal recessive congenital tufting enteropathy (CTE) (MedGen UID: 413031).', 'Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the uterus/endometrium, ovary, stomach, bladder, biliary tract, urinary tract, prostate, brain and possibly small intestines. Estimated lifetime risks for individuals with a pathogenic variant in MSH2 and/or EPCAM include a 33-52% risk for colorectal cancer, up to a 9% risk for gastric cancer, up to a 1.7% risk for cancer of the biliary tract, a 2-28% risk for urinary tract cancer, a 4-13% risk for bladder cancer and a 3-8% risk for brain/central nervous system cancer. Affected females also have an increased risk of uterine cancer (21-57%) and ovarian cancer (8-38%) while affected males have an elevated risk for prostate cancer (up to 24%) (PMID: 21642682, 28754778, 19900449, 26657901, 31337882, 23091106, 18398828, 27013479).', 'CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897). Congenital tufting enteropathy (CTE) is a gastrointestinal insufficiency syndrome presenting early in infancy as severe watery diarrhea. CTE is usually treated by daily nutritional supplements and occasionally, intestinal transplantation (PMID: 8057225, 18572020).', '0', NULL),","Deletions that include exon 9 of the EPCAM gene are known to cause autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer, or HNPCC) (MedGen UID: 412966) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553). EPCAM is also associated with autosomal recessive congenital tufting enteropathy (CTE) (MedGen UID: 413031). The EPCAM gene is associated with autosomal recessive congenital tufting enteropathy (CTE) (MedGen UID: 413031).  Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the uterus/endometrium, ovary, stomach, bladder, biliary tract, urinary tract, prostate, brain and possibly small intestines. Estimated lifetime risks for individuals with a pathogenic variant in MSH2 and/or EPCAM include a 33-52% risk for colorectal cancer, up to a 9% risk for gastric cancer, up to a 1.7% risk for cancer of the biliary tract, a 2-28% risk for urinary tract cancer, a 4-13% risk for bladder cancer and a 3-8% risk for brain/central nervous system cancer. Affected females also have an increased risk of uterine cancer (21-57%) and ovarian cancer (8-38%) while affected males have an elevated risk for prostate cancer (up to 24%) (PMID: 21642682, 28754778, 19900449, 26657901, 31337882, 23091106, 18398828, 27013479).  CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897). Congenital tufting enteropathy (CTE) is a gastrointestinal insufficiency syndrome presenting early in infancy as severe watery diarrhea. CTE is usually treated by daily nutritional supplements and occasionally, intestinal transplantation (PMID: 8057225, 18572020)."
FANCA,The FANCA gene is associated with autosomal recessive Fanconi anemia type A (FA-A) (MedGen UID: 483333).,"Fanconi anemia is characterized by bone marrow failure, short stature, abnormal skin pigmentation, developmental delay and malformations of the thumbs, skeletal and central nervous systems (PMID: 20417588, 8986277). The risks for leukemia and early onset solid tumors are significantly elevated (PMID: 20507306, 12393424, 12393516).",,NO,,,"('FANCA', 'The FANCA gene is associated with autosomal recessive Fanconi anemia type A (FA-A) (MedGen UID: 483333).', 'Fanconi anemia is characterized by bone marrow failure, short stature, abnormal skin pigmentation, developmental delay and malformations of the thumbs, skeletal and central nervous systems (PMID: 20417588, 8986277). The risks for leukemia and early onset solid tumors are significantly elevated (PMID: 20507306, 12393424, 12393516).									', '', '0', NULL),","The FANCA gene is associated with autosomal recessive Fanconi anemia type A (FA-A) (MedGen UID: 483333).  Fanconi anemia is characterized by bone marrow failure, short stature, abnormal skin pigmentation, developmental delay and malformations of the thumbs, skeletal and central nervous systems (PMID: 20417588, 8986277). The risks for leukemia and early onset solid tumors are significantly elevated (PMID: 20507306, 12393424, 12393516)."
FANCC,"The FANCC gene is associated with autosomal recessive Fanconi anemia (MedGen UID: 483324). There is also evidence suggesting FANCC is associated with autosomal dominant predisposition to breast, ovarian and pancreatic cancer (PMID: 30733081, 15695377, 12750283). The data, however, are preliminary and insufficient to make a determination regarding these relationships.","Fanconi anemia is characterized by bone marrow failure, short stature, abnormal skin pigmentation, developmental delay and malformations of the thumbs, skeletal and central nervous systems (PMID: 20417588, 8986277). The risks for leukemia and early onset solid tumors are significantly elevated (PMID: 20507306, 12393424, 12393516).",,NO,,,"('FANCC', 'The FANCC gene is associated with autosomal recessive Fanconi anemia (MedGen UID: 483324). There is also evidence suggesting FANCC is associated with autosomal dominant predisposition to breast, ovarian and pancreatic cancer (PMID: 30733081, 15695377, 12750283). The data, however, are preliminary and insufficient to make a determination regarding these relationships.', 'Fanconi anemia is characterized by bone marrow failure, short stature, abnormal skin pigmentation, developmental delay and malformations of the thumbs, skeletal and central nervous systems (PMID: 20417588, 8986277). The risks for leukemia and early onset solid tumors are significantly elevated (PMID: 20507306, 12393424, 12393516).', '', '0', NULL),","The FANCC gene is associated with autosomal recessive Fanconi anemia (MedGen UID: 483324). There is also evidence suggesting FANCC is associated with autosomal dominant predisposition to breast, ovarian and pancreatic cancer (PMID: 30733081, 15695377, 12750283). The data, however, are preliminary and insufficient to make a determination regarding these relationships.  Fanconi anemia is characterized by bone marrow failure, short stature, abnormal skin pigmentation, developmental delay and malformations of the thumbs, skeletal and central nervous systems (PMID: 20417588, 8986277). The risks for leukemia and early onset solid tumors are significantly elevated (PMID: 20507306, 12393424, 12393516)."
