Test,ID,GeneMasterName,Variant,Gender,DiseaseName,PredominantCancerSubtype,SyndromeMasterName,DiseaseType,Organ,FinalVerdict,NotesReAssn,EvidenceofAssociation,PredominantCancerSubtypeSource,ClinGenValidility,ClinGen Numeric,NCCN combined,NCCNRecommend,NCCNidentifier,GeneticHomeReference,OMIM,GeneCard,GeneReview,Completed,GraphInAsk2Me,HomuncCaNeo,HomuncBenign,ASk2me Asssociation,NEJM MHL and DICER1 paper,MedNeon_Extended,Akras_paper,Akras_paper_penetrance,Yadav_paper,AmbryGenetics,SPANISH_DiseaseName,CHINESE_DiseaseName,SPANISH_Gender,CHINESE_Gender,IfMetaanalysisInMasterTable,IfASK2MEBasedOnMetaanalysis,SourceRisk,Order,Concatenated,OldDiseaseName,OldPredominantCancerSubtype,OldDiseaseType,BreastGene,ColonGene,Z_Old_DiseaseName,Z_Inheritance,Z_AllellicInheritance
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Lipoma,,,Benign,Skin,9,MedNeon(Kelly),,,,,,,,,,,,,,,,,,,,,,,,,Masculino,男性,,,,,,Subcutaneous Lipomatosis,,Benign Disease,,,Lipoma,,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Thyroid (Benign),Multinodular Goiter,,Benign,Thyroid,9,MedNeon(Kelly),,,,,,,,,,,,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Multinodular goiter,,Benign Disease,,,Thyroid (Benign),,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Skin (Benign),focal cutaneous mucinosis,,Benign,Skin,1,MedNeon(Kelly),,,,,,,,,,,,Invitae states Birt Hogg Dube and these are from that syndrome,,,,,,,,,,,,,Masculino,男性,,,,,,Subcutaneous Lipomatosis,,Benign Disease,,,Lipoma,,Mono
X-Linked,244,GPC3,,Male,Simpson-Golabi-Behmel syndrome,"characteristic facies, cognitive impairment, pre- and postnatal overgrowth, macrosomia, and skeletal, genitourinary, cardiac, and renal anomalies",,Syndrome,,1,MedNeon (Kelly) X- linked recessive,,,,,,,,,,,,Invitae,,,,,,1,1,,,,neuroblastoma,成神经细胞瘤,Masculino,男性,0,0,1,,"The GPC3 gene is associated with X-linked recessive Simpson-Golabi-Behmel syndrome (MedGen UID: 162917).  Simpson-Golabi-Behmel syndrome (SGBS) is characterized by pre- and postnatal overgrowth, characteristic facial features and visceromegaly. Clinical features include cleft lip or palate, heart defects and anomalies of the skeleton, kidneys and genitourinary system. SGBS is associated with an increased risk of Wilms tumor and other embryonal tumors such as hepatoblastoma, adrenal neuroblastoma, gonadoblastoma and hepatocellular carcinoma. Craniosynostosis has been reported in rare cases (PMID: 24115482, 19372699). All males are expected to have features of SGBS; however, there is variability in the clinical severity. Females are frequently unaffected but may also have clinical features of SGBS due to skewed X-inactivation (PMID: 25238977).

Simpson-Golabi-Behmel syndrome (SGBS) is characterized by pre- and postnatal overgrowth, characteristic facial features and visceromegaly. Clinical features include cleft lip or palate, heart defects and anomalies of the skeleton, kidneys and genitourinary system. SGBS is associated with an increased risk of Wilms tumor and other embryonal tumors such as hepatoblastoma, adrenal neuroblastoma, gonadoblastoma and hepatocellular carcinoma. Craniosynostosis has been reported in rare cases (PMID: 24115482, 19372699). All males are expected to have features of SGBS; however, there is variability in the clinical severity. Females are frequently unaffected but may also have clinical features of SGBS due to skewed X-inactivation (PMID: 25238977).",Neuroblastoma,,Cancer,,,Neuroblastoma,,Mono
,,HRAS,,Either,Developmental,Failure to thrive,,Benign,CNS,,MedNeon (Kelly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HRAS,,Either,Developmental,Intellectual Disability,,Benign,CNS,,MedNeon (Kelly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HRAS,,Either,Skin (Benign),Papillomata of the face and perianal region,,Benign,Skin,,MedNeon (Kelly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HRAS,,Either,Dysmorphic Feature,"Diffuse hypotonia and joint laxity, tight achilles tendons",,Benign,Connective Tissue,,MedNeon (Kelly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HRAS,,Either,Cardiovascular (Benign),"Cardiac hypertrophy, congenital heart defect, arrhythmia",,Benign,Heart,,MedNeon (Kelly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need disease for GOOSE,32,WRN,,Either,Melanoma,Acral lentiginous melanomas,,Cancer,Skin,,MedNeon(Kelly) Biallelic,,,,,,,,,,,,,,,,,,,,,,,melanoma,黑色素瘤,Masculino,男性,0,0,,,,Melanoma,,Cancer,,,Melanoma,,Mono
need disease for GOOSE,454,WRN,,Either,Sarcoma,Osteosarcoma,,Cancer,Bone,,MedNeon(Kelly) Biallelic,,,,,,,,,,,,,,,,,,,,,,1,osteosarcoma,骨肉瘤,Masculino,男性,0,0,,238,,Osteosarcoma,,Cancer,,,Sarcoma (Bone),,Mono
need disease for GOOSE,774,WRN,,Either,Thyroid Cancer,,,Cancer,Thyroid,,MedNeon(Kelly) Biallelic,,,,,,,,,,,,,,,,,,,,,,,tiroides,甲状腺,Masculino,男性,0,0,Ask2Me,401,,Thyroid cancer,,Cancer,1,1,Thyroid Cancer,,Mono
need disease for GOOSE,454,WRN,,Either,Sarcoma,,,Cancer,Soft Tissue,,MedNeon(Kelly) Biallelic,,,,,,,,,,,,,,,,,,,,,,1,osteosarcoma,骨肉瘤,Masculino,男性,0,0,,238,,Osteosarcoma,,Cancer,,,Sarcoma (Bone),,Mono
0,,PTCH21,,Either,Lung (Benign),Bronchiectasis,,Benign,Lung,1,,,,,,,,,1,1,1,1,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Lung cyst,,Cancer,,,Lung (Benign),,Mono
0,,RPS17,,Either,Metabolic,Cystic fibrosis,,Benign,Metabolic,1,Biallelic,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Lung cyst,,Cancer,,,Cystic fibrosis,,Mono
0,716,MUTYH-Biallelic/Compound Heterozygous,Compound Heterozygous,Either,Colorectal Cancer,,,Cancer,Colorectal,9,NO source,,,,,,,,,,,,1,1,,,1,,,1,High,,,colorrectal,结直肠,Masculino,男性,1,1,Ask2Me,372,,Colorectal cancer,,Cancer,,,Colorectal Cancer,,Biallelic
At least 1 finalverdict,,MUTYH,,Male,Prostate Cancer,,,Cancer,Prostate,9,https://ascopubs.org/doi/full/10.1200/PO.16.00039 There is no risk info for MUTYH,,,,,9,,9,,,,,1,,,,,,,,,,,próstata,前列腺,Masculino,男性,0,0,,,,Prostate cancer,,Cancer,,,Prostate Cancer,,Mono
,,ABRAXAS1,,Female,Ovarian Cancer,,,Cancer,Ovary,9,,,,,,,,,,,1,,1,,,,,,,,,,,,,Femenino,女性,0,0,,,,Ovarian cancer,,Cancer,,,Ovarian cancer,,Mono
At least 1 finalverdict,,ATM,,Either,Bladder Cancer,,,Cancer,Urinary Bladder,9,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,Cancer,1,1,Melanoma,,Mono
"The BLM gene is associated with autosomal recessive Bloom syndrome (MedGen UID: 2685). Studies have also suggested BLM may be associated with autosomal dominant predisposition to colorectal cancer (PMID: 12242432, 26358404). The evidence, however, is preliminary and insufficient to make a determination regarding this relationship.                                                                          Bloom syndrome is characterized by proportionate small stature, microcephaly, abnormal skin pigmentation, facial anomalies, sun-sensitive facial erythema, infertility, immunodeficiency, and a predisposition to a wide variety of cancers (PMID: 16763388, 5770175).",,BLM,,Female,Breast Cancer,,,Cancer,Breast,0,Biallelic?,,,,,,,,,,1,,Invitae,,,,,,,,,,,,,,,0,0,Invitae,,"The BLM gene is associated with autosomal recessive Bloom syndrome (MedGen UID: 2685). Studies have also suggested BLM may be associated with autosomal dominant predisposition to colorectal cancer (PMID: 12242432, 26358404). The evidence, however, is preliminary and insufficient to make a determination regarding this relationship.                                                                          Bloom syndrome is characterized by proportionate small stature, microcephaly, abnormal skin pigmentation, facial anomalies, sun-sensitive facial erythema, infertility, immunodeficiency, and a predisposition to a wide variety of cancers (PMID: 16763388, 5770175).",Breast cancer,,Cancer,,,Breast cancer,,Mono
"The BLM gene is associated with autosomal recessive Bloom syndrome (MedGen UID: 2685). Studies have also suggested BLM may be associated with autosomal dominant predisposition to colorectal cancer (PMID: 12242432, 26358404). The evidence, however, is preliminary and insufficient to make a determination regarding this relationship.                                                                          Bloom syndrome is characterized by proportionate small stature, microcephaly, abnormal skin pigmentation, facial anomalies, sun-sensitive facial erythema, infertility, immunodeficiency, and a predisposition to a wide variety of cancers (PMID: 16763388, 5770175).",,BLM,,Female,Ovarian Cancer,,,Cancer,Ovary,9,Biallelic?,,,,,,,,,,1,,Invitae,,,,,,,,,,,,,,,0,0,Invitae,,"The BLM gene is associated with autosomal recessive Bloom syndrome (MedGen UID: 2685). Studies have also suggested BLM may be associated with autosomal dominant predisposition to colorectal cancer (PMID: 12242432, 26358404). The evidence, however, is preliminary and insufficient to make a determination regarding this relationship.                                                                          Bloom syndrome is characterized by proportionate small stature, microcephaly, abnormal skin pigmentation, facial anomalies, sun-sensitive facial erythema, infertility, immunodeficiency, and a predisposition to a wide variety of cancers (PMID: 16763388, 5770175).",,,Cancer,,,,,Mono
At least 1 finalverdict,,BRCA1,,Either,Hepatobiliary Cancer,Cholangiocarcinoma,,Cancer,Bile Duct,9,,,,,,,,,1,,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Cholangiocarcinoma,,Cancer,,,Hepatobiliary Cancer,,Mono
At least 1 finalverdict,,BRCA2,,Either,Hepatobiliary Cancer,Cholangiocarcinoma,,Cancer,Bile Duct,9,,,,,,,,,1,,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Cholangiocarcinoma,,Cancer,,,Hepatobiliary Cancer,,Mono
,,GATA2,,Either,Hearing loss,,,,Auditory,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arthrogryposis,,,,Bone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PDGFRA,,Either,Inflammatory fibroid polyps,,,,GI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PDGFRA,,Either,Fibroid tumors,,,,GI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PDGFRA,,Either,Coarse skin and facial features in addition to broad hands and feet,,,,General,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PHOX2B,,Either,Dysmorphic Feature,"Downslanting palpebral fissures, small nose and low-set, posteriorly rotated ears",,,General,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SMARCA4,,Either,Coffin-Siris syndrome,,,,General,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SMARCA4,,Either,Rhabdoid Tumour,,,,CNS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SMARCB1,,Either,Rhabdoid Tumour,,,,CNS,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Polyp,,,Neoplasm,Colon,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Kidney Cysts,,,Benign,Kidney,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Colorectal Cancer,,,Cancer,Colorectal,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The TERT gene is associated with both autosomal dominant and autosomal recessive TERT-related dyskeratosis congenita (DC) spectrum disorders (MedGen UID: 462793  Autosomal dominant TERT-related conditions encompass a broad spectrum of features with varying degrees of severity complicated by reduced penetrance, variable expressivity, anticipation, delayed age of onset and multifactorial effects (PMID: 32923861, 25237198). Symptoms, if present, may include aplastic anemia, idiopathic pulmonary fibrosis and/or liver cirrhosis, among others (PMID: 17392301, 27836952, 21436073, 26022962). Genotype-phenotype correlation is unclear but may be influenced by an individual’s telomere length (PMID: 33184060).

Autosomal recessive TERT-related conditions include those associated with dominant disease, but may also have features of dyskeratosis congenita (DC). DC is characterized by abnormal skin pigmentation, nail dystrophy, oral leukoplakia, progressive bone marrow failure and increased risk for certain cancers such as squamous cell carcinoma and hematolymphoid neoplasms (PMID: 25170286). Some affected individuals may have a severe form of DC called Hoyeraal-Hreidarsson syndrome (HHS) that typically presents in the first year of life with intrauterine growth restriction, cerebellar hypoplasia, immunodeficiency and bone marrow failure in addition to features of DC (PMID: 25940403, 23335200).",,TERT,,Either,Cirrhosis,,,,Liver,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,"The TERT gene is associated with both autosomal dominant and autosomal recessive TERT-related dyskeratosis congenita (DC) spectrum disorders (MedGen UID: 462793  Autosomal dominant TERT-related conditions encompass a broad spectrum of features with varying degrees of severity complicated by reduced penetrance, variable expressivity, anticipation, delayed age of onset and multifactorial effects (PMID: 32923861, 25237198). Symptoms, if present, may include aplastic anemia, idiopathic pulmonary fibrosis and/or liver cirrhosis, among others (PMID: 17392301, 27836952, 21436073, 26022962). Genotype-phenotype correlation is unclear but may be influenced by an individual’s telomere length (PMID: 33184060).

Autosomal recessive TERT-related conditions include those associated with dominant disease, but may also have features of dyskeratosis congenita (DC). DC is characterized by abnormal skin pigmentation, nail dystrophy, oral leukoplakia, progressive bone marrow failure and increased risk for certain cancers such as squamous cell carcinoma and hematolymphoid neoplasms (PMID: 25170286). Some affected individuals may have a severe form of DC called Hoyeraal-Hreidarsson syndrome (HHS) that typically presents in the first year of life with intrauterine growth restriction, cerebellar hypoplasia, immunodeficiency and bone marrow failure in addition to features of DC (PMID: 25940403, 23335200).",,,,,,,,
,,SMARCE1,,,Coffin-Siris syndrome,,,,General,,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TSC1,,Either,Tuberous sclerosis complex (TSC),,,,General,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TSC1,,Either,Brain Tumor,Cortical tubers,,,Brain,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TSC1,,Either,Hamartoma,,,,Multiple organs,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TSC1,,Either,Brain Tumor,Subependymal nodules,,,Brain,1,,,,,,,,,,,,,Invitae,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least 1 finalverdict,991,WT1,,Either,Developmental,Hemihyperplasia,,Benign,Bone,1,,,,Mentioned,1,,,,1,1,1,1,1,,,,,,,,,,,cerebro,脑,Masculino,男性,0,0,,,,Intellectual disability,,Benign Disease,,,Hemihyperplasia,,Mono
,,TERT,,,Pancreas (Benign),Pancreatitis,,Benign,Pancreas,9,Ambry only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MRE11A,,,Pancreas (Benign),Pancreatitis,,Benign,Pancreas,9,Ambry only,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,RPS20,,,Pancreas (Benign),Pancreatitis,,Benign,Pancreas,9,Ambry only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RAD50,,,Pancreas (Benign),Pancreatitis,,Benign,Pancreas,9,Ambry only,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ABRAXAS1,,,Pancreas (Benign),Pancreatitis,,Benign,Pancreas,9,Ambry only,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1511,PTCSC2,,Either,Oropharynx (Benign),"Cleft palate
- Bifid epiglottis",,Benign,Oropharynx,9,,,,,,,,,,,1,,1,,,,,,,,,,,tiroides,甲状腺,Masculino,男性,0,0,,278,,,,,,,Cleft palate,,Mono
0,1511,PTCSC2,,Either,Thyroid (Benign),Hypothyroid,,Benign,Thyroid,9,,,,,,,,,,,1,,1,,,,,,,,,,,tiroides,甲状腺,Masculino,男性,0,0,,278,,,,,,,Hypothyroid,,Mono
0,1015,PTCSC2,,Either,Brain Tumor,Glioblastoma Multiforme,,Cancer,Brain,9,,,,,,,,,,,1,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Brain Tumor,Malignant glioma,Cancer,,,Brain Tumor,,Mono
0,1015,PTCSC3,,Either,Brain Tumor,Glioma,,Cancer,Brain,9,,,,,,,,,,,1,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Brain Tumor,Malignant glioma,Cancer,,,Brain Tumor,,Mono
0,1511,PTCSC1,,Either,Thyroid Cancer,Papillary Thyroid Cancer,,Cancer,Thyroid,9,PMID:19147577,,,,,,,,,,1,,1,,,,,,,,,,,tiroides,甲状腺,Masculino,男性,0,0,,278,,Thyroid cancer,,Cancer,,,Thyroid Cancer,,Mono
At least 1 finalverdict,1626,STK11,,Female,Ovarian Cancer,,,Cancer,Ovary,0,,,,No Reported Evidence,0,,,,1,,,,1,,,,,,,,,,,ovario,卵巢,Femenino,女性,0,0,,277,,Ovarian cancer,,Cancer,1,1,Ovarian Cancer,,Mono
At least 1 finalverdict,5,DICER1,,Either,Kidney (Benign),Cystic Nephroma,,Benign,Kidney,1,73% of cystic nephromas,,,Mentioned,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,cystic nephromas,,
At least 1 finalverdict,5,DICER1,,Either,Thyroid Neoplasm,Thyroid Adenoma,,Neoplasm,Thyroid,1,,,,Mentioned,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid Adenoma,,
At least 1 finalverdict,5,DICER1,,Either,Kidney Cancer,Renal Sarcoma,,Cancer,Kidney,9,,,,Mentioned,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Renal Sarcoma,,
At least 1 finalverdict,4,DICER1,,Either,Eye Neoplasm,ciliary body medulloepithelioma (CBME),,Neoplasm,Eye,9,,,,Mentioned,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,CBME,,
At least 1 finalverdict,5,DICER1,,Either,Nasopharyngeal Neoplasm,nasal chondromesenchymal hamartoma (NCMH),,Neoplasm,Head and neck,9,,,,Mentioned,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,nasal chondromesenchymal hamartoma (NCMH),,
At least 1 finalverdict,420,CDH1,,Either,Dysmorphic Feature,"Flat face , High forehead , Asymmetric face (in some patients), High anterior hairline",BLEPHAROCHEILODONTIC SYNDROME 1,Benign,Face,1,"OMIM only PMID-28301459,24719364",,,,,,,,,1,,,1,,,,,,,,,,,hendidura orofacial,口面裂,Masculino,男性,0,0,,220,,Orofacial clefting,,Benign Disease,1,,Facial Deformities,,Mono
