AltNameGene,GeneMasterName,ForNLP,ForGeneCancerAssociation,DisplayAltNameGene,PrimaryKey,Test,Z_Ambry,Z_Invitae,Z_Fulgent,Z_ASK2ME,Z_Disease Type
hCDKN2A/p14,CDKN2A,1,1,,218,,,,,,Cancer
CDKN2A/p14,CDKN2A,1,1,,219,,,,,1,Cancer
hCDKN2A/p16,CDKN2A,1,1,,220,,,,,,Cancer
CDKN2A/p16,CDKN2A,1,1,,221,,,,,1,Cancer
p16,CDKN2A,1,1,,222,,,,,,Cancer
CHEK1,CHEK1,1,1,1,223,,,,,,Cancer
CHEK2,CHEK2,1,1,1,224,,1,1,1,1,Cancer
Checkpoint kinase 2,CHEK2,1,1,1,225,,,,,,Cancer
CHK2,CHEK2,1,1,,226,,,,,,Cancer
hCHEK2,CHEK2,1,1,,227,,,,,,Cancer
cell cycle checkpoint kinase 2,CHEK2,1,1,,228,,,,,,Cancer
CSRP3,CSRP3,,,,229,gene good,,,,,Cardiomyophathy
CTF1,CTF1,,,,230,,,,,,Cardiomyophathy
DES,DES,,,,231,gene good,,,,,Cardiomyophathy
DSC2,DSC2,,,,232,gene good,,,,,Cardiomyophathy
DSG2,DSG2,,,,233,gene good,,,,,Cardiomyophathy
DSP,DSP,,,,234,gene good,,,,,Cardiomyophathy
EMD,EMD,,,,235,gene good,,,,,Cardiomyophathy
EPCAM,EPCAM,1,1,1,236,gene good,1,1,1,1,Cancer
Epithelial cell adhesion molecule,EPCAM,1,1,,237,gene good,,,,,Cancer
hEPCAM,EPCAM,1,1,,238,gene good,,,,,Cancer
GLA,GLA,,,,239,gene good,,,,,Cardiomyophathy
GREM1,GREM1,1,1,1,240,gene good,1,1,1,1,Cancer
hGREM1,GREM1,1,1,,241,gene good,,,,,Cancer
HOXB13,HOXB13,1,1,,242,gene good,1,1,1,1,Cancer
LAMP2,LAMP2,,,,243,gene good,,,,,Cardiomyophathy
LDB3,LDB3,,,,244,gene good,,,,,Cardiomyophathy
LMNA,LMNA,,,,245,gene good,,,,,Cardiomyophathy
MMR,Lynch Gene,1,1,1,246,gene good,,,,,Cancer
DNA Mismatch Repair gene,Lynch Gene,1,1,1,247,gene good,,,,,Cancer
mismatch repair mmr genes,Lynch Gene,1,1,,248,gene good,,,,,Cancer
mismatch repair,Lynch Gene,1,1,,249,gene good,,,,,Cancer
mismatch repair (mmr) genes,Lynch Gene,1,1,,250,gene good,,,,,Cancer
Mismatch Repair genes,Lynch Gene,1,1,,251,gene good,,,,,Cancer
dna mismatch-repair,Lynch Gene,1,1,,252,gene good,,,,,Cancer
dna mismatch repair mmr,Lynch Gene,1,1,,253,gene good,,,,,Cancer
DNA mismatch repair,Lynch Gene,1,1,,254,gene good,,,,,Cancer
DNA-mismatch repair,Lynch Gene,1,1,,255,gene good,,,,,Cancer
Mismatch Repair gene,Lynch Gene,1,1,,256,gene good,,,,,Cancer
Menin,MEN1,1,1,1,257,gene good,,,,,Cancer
MEN1,MEN1,1,1,1,258,gene good,1,1,1,,Cancer
MLH1,MLH1,1,1,1,259,gene good,1,1,1,1,Cancer
Mutl Homolog,MLH1,1,1,1,260,gene good,,,,,Cancer
hMLH1,MLH1,1,1,,261,gene good,,,,,Cancer
MLH3,MLH3,1,1,1,262,gene good,1,,1,,Cancer
MSH2,MSH2,1,1,1,263,gene good,1,1,1,1,Cancer
hMSH2,MSH2,1,1,,264,gene good,,,,,Cancer
MSH6,MSH6,1,1,1,265,gene good,1,1,1,1,Cancer
hMSH6,MSH6,1,1,,266,gene good,,,,,Cancer
MSI,MSI,1,1,1,267,,,,,,Cancer
Microsatellite Instability,MSI,1,1,1,268,,,,,,Cancer
msi-h,MSI,1,1,,269,,,,,,Cancer
microsatellite-stable,MSI,1,1,,270,,,,,,Cancer
MUTYH Biallelic,MUTYH,1,1,1,271,gene good,,,,,Cancer
MYH,MUTYH,1,1,1,272,gene good,,,,,Cancer
MUTYH Monoallelic,MUTYH,1,1,1,273,gene good,,,,,Cancer
MUTYH,MUTYH,1,1,1,274,gene good,1,1,1,1,Cancer
hMUTYH Monoallelic,MUTYH,1,1,,275,gene good,,,,,Cancer
hMUTYH Biallelic,MUTYH,1,1,,276,gene good,,,,,Cancer
hmutyh,MUTYH,1,1,,277,gene good,,,,,Cancer
MYBPC3,MYBPC3,,,,278,gene good,,,,,Cardiomyophathy
MYH7,MYH7,,,,279,gene good,,,,,Cardiomyophathy
MYL2,MYL2,,,,280,gene good,,,,,Cardiomyophathy
MYL3,MYL3,,,,281,gene good,,,,,Cardiomyophathy
NBS1,NBN,1,1,1,282,gene good,,,,,Cancer
NBN,NBN,1,1,1,283,gene good,1,1,1,1,Cancer
NBN/NBS1,NBN,1,1,,284,gene good,,,,,Cancer
hNBN,NBN,1,1,,285,gene good,,,,,Cancer
NF1,NF1,1,1,1,286,gene good,1,1,1,1,Cancer
NF2,NF2,1,1,1,287,gene good,1,1,1,,Cancer
FANCN,PALB2,,,1,288,gene good,,,,,Cancer
Partner and Localizer Of BRCA2,PALB2,,,1,289,gene good,,,,,Cancer
PALB2,PALB2,1,1,,290,gene good,1,1,1,1,Cancer
hPALB2,PALB2,1,1,,291,gene good,,,,,Cancer
PKP2,PKP2,,,,292,gene good,,,,,Cardiomyophathy
PLN,PLN,,,,293,gene good,,,,,Cardiomyophathy
PMS1,PMS1,1,1,1,294,gene good,,,,,Cancer
hPMS1,PMS1,1,1,,295,gene good,,,,,Cancer
PMS2,PMS2,1,1,1,296,gene good,1,1,1,1,Cancer
hPMS2,PMS2,1,1,,297,gene good,,,,,Cancer
POLD1,POLD1,1,1,1,298,gene good,1,1,1,1,Cancer
hPOLD1,POLD1,1,1,,299,gene good,,,,,Cancer
POLE,POLE,1,1,1,300,gene good,1,1,1,1,Cancer
hPOLE,POLE,1,1,,301,gene good,,,,,Cancer
PRKAG2,PRKAG2,,,,302,gene good,,,,,Cardiomyophathy
PTEN,PTEN,1,1,1,303,gene good,1,1,1,1,Cancer
hPTEN,PTEN,1,1,,304,gene good,,,,,Cancer
RAD50,RAD50,1,1,1,305,gene good,1,1,1,1,Cancer
hRAD50,RAD50,1,1,,306,gene good,,,,,Cancer
RAD51,RAD51,1,1,1,307,gene good,,,,,Cancer
RAD51C,RAD51C,1,1,1,308,gene good,1,1,1,1,Cancer
hRAD51C,RAD51C,1,1,,309,gene good,,,,,Cancer
RAD51D,RAD51D,1,1,1,310,,1,1,1,1,Cancer
hRAD51D,RAD51D,1,1,,311,,,,,,Cancer
RET,RET,1,1,1,312,gene good,1,1,1,,Cancer
SDHA,SDHA,1,1,1,313,gene good,1,1,1,,Cancer
SDHAF2,SDHAF2,1,1,1,314,gene good,1,1,1,,Cancer
SDHB,SDHB,1,1,1,315,gene good,1,1,1,,Cancer
SDHC,SDHC,1,1,1,316,gene good,1,1,1,,Cancer
SDHD,SDHD,1,1,1,317,gene good,1,1,1,,Cancer
SGCD,SGCD,,,,318,gene good,,,,,Cardiomyophathy
SMAD4,SMAD4,1,1,1,319,gene good,1,1,1,9,Cancer
hSMAD4,SMAD4,1,1,,320,gene good,,,,,Cancer
STK11,STK11,1,1,1,321,gene good,1,1,1,1,Cancer
hSTK11,STK11,1,1,,322,gene good,,,,,Cancer
TAZ,TAZ,,,,323,gene good,,,,,Cardiomyophathy
TCAP,TCAP,,,,324,gene good,,,,,Cardiomyophathy
TMEM43,TMEM43,,,,325,gene good,,,,,Cardiomyophathy
TNNI3,TNNI3,,,,326,gene good,,,,,Cardiomyophathy
TNNT2,TNNT2,,,,327,gene good,,,,,Cardiomyophathy
TP53,TP53,1,1,1,328,gene good,1,1,1,1,Cancer
P53,TP53,1,1,,329,gene good,,,,,Cancer
TPM1,TPM1,,,,330,gene good,,,,,Cardiomyophathy
VCL,VCL,,,,331,gene good,,,,,Cardiomyophathy
VHL,VHL,1,1,1,332,gene good,1,1,1,,Cancer
adenomatous polyposis coli,APC,,,,333,gene good,,,,,Cancer
APC_HUMAN,APC,,,,334,gene good,,,,,Cancer
DP2,APC,,,,335,gene good,,,,,Cancer
DP2.5,APC,,,,336,gene good,,,,,Cancer
DP3,APC,,,,337,gene good,,,,,Cancer
FAP,APC,,,1,338,gene good,,,,,Cancer
FPC,APC,,,,339,gene good,,,,,Cancer
GS,APC,,,,340,gene good,,,,,Cancer
PPP1R46,APC,,,,341,gene good,,,,,Cancer
WNT signaling pathway regulator,APC,,,,342,gene good,,,,,Cancer
AT mutated,ATM,,,,343,gene good,,,,,Cancer
AT protein,ATM,,,,344,gene good,,,,,Cancer
AT1,ATM,,,,345,gene good,,,,,Cancer
ATA,ATM,,,,346,gene good,,,,,Cancer
ataxia telangiectasia mutated,ATM,,,1,347,gene good,,,,,Cancer
ataxia telangiectasia mutated protein,ATM,,,,348,gene good,,,,,Cancer
"ataxia telangiectasia mutated (includes complementation groups A, C and D)",ATM,,,,349,gene good,,,,,Cancer
ATD,ATM,,,,350,gene good,,,,,Cancer
ATC,ATM,,,,351,gene good,,,,,Cancer
ATDC,ATM,,,,352,gene good,,,,,Cancer
ATE,ATM,,,,353,gene good,,,,,Cancer
ATM_HUMAN,ATM,,,,354,gene good,,,,,Cancer
human phosphatidylinositol 3-kinase homolog,ATM,,,,355,gene good,,,,,Cancer
serine-protein kinase ATM,ATM,,,,356,gene good,,,,,Cancer
TEL1,ATM,,,,357,gene good,,,,,Cancer
TELO1,ATM,,,,358,gene good,,,,,Cancer
BRCA1 Associated RING Domain 1,BARD1,,,,359,,,,,,Cancer
RING-Type E3 Ubiquitin Transferase BARD1,BARD1,,,,360,,,,,,Cancer
BARD-1,BARD1,,,,361,,,,,,Cancer
EC 2.3.2.27,BARD1,,,,362,,,,,,Cancer
"Protein Phosphatase 1, Regulatory Subunit 46",APC,,,,363,gene good,,,,,Cancer
Deleted In Polyposis 2.5,APC,,,,364,gene good,,,,,Cancer
Adenomatosis Polyposis Coli Tumor Suppressor,APC,,,1,365,gene good,,,,,Cancer
Truncated Adenomatosis Polyposis Coli,APC,,,1,366,gene good,,,,,Cancer
BTPS2,APC,,,,367,gene good,,,,,Cancer
EC 2.7.11.1,ATM,,,,368,gene good,,,,,Cancer
ATM Serine/Threonine Kinase,ATM,,,,369,gene good,,,,,Cancer
ACVRLK3,BMPR1A,,,,371,gene good,,,,,Cancer
ALK3,BMPR1A,,,,372,gene good,,,,,Cancer
BMR1A_HUMAN,BMPR1A,,,,373,gene good,,,,,Cancer
bone morphogenetic protein receptor type IA,BMPR1A,,,,374,gene good,,,,,Cancer
CD292,BMPR1A,,,,375,gene good,,,,,Cancer
SKR5,BMPR1A,,,,376,gene good,,,,,Cancer
serine/threonine-protein kinase receptor R5,BMPR1A,,,,377,gene good,,,,,Cancer
Activin Receptor-Like Kinase 3,BMPR1A,,,,378,gene good,,,,,Cancer
BMP Type-1A Receptor,BMPR1A,,,,379,gene good,,,,,Cancer
EC 2.7.11.30,BMPR1A,,,,380,gene good,,,,,Cancer
BMPR-1A,BMPR1A,,,,381,gene good,,,,,Cancer
ALK-3,BMPR1A,,,,382,gene good,,,,,Cancer
"Activin A Receptor, Type II-Like Kinase 3",BMPR1A,,,,383,gene good,,,,,Cancer
CD292 Antigen,BMPR1A,,,,384,gene good,,,,,Cancer
EC 2.7.11,BMPR1A,,,,385,gene good,,,,,Cancer
BRCA1_HUMAN,BRCA1,,,,387,gene good,,,,,Cancer
BRCC1,BRCA1,,,,388,gene good,,,,,Cancer
breast cancer 1 gene,BRCA1,,,,389,gene good,,,,,Cancer
"breast cancer 1, early onset gene",BRCA1,,,,390,gene good,,,,,Cancer
breast cancer type 1 susceptibility gene,BRCA1,,,,391,gene good,,,,,Cancer
breast cancer type 1 susceptibility protein,BRCA1,,,,392,gene good,,,,,Cancer
IRIS,BRCA1,,,,393,gene good,,,,,Cancer
PPP1R53,BRCA1,,,,394,gene good,,,,,Cancer
PSCP,BRCA1,,,,395,gene good,,,,,Cancer
RNF53,BRCA1,,,,396,gene good,,,,,Cancer
"BRCA1, DNA Repair Associated",BRCA1,,,,397,gene good,,,,,Cancer
"Protein Phosphatase 1, Regulatory Subunit 53",BRCA1,,,,398,gene good,,,,,Cancer
"BRCA1/BRCA2-Containing Complex, Subunit 1",BRCA1,,,,399,gene good,,,,,Cancer
"Fanconi Anemia, Complementation Group S",BRCA1,,,,400,gene good,,,,,Cancer
RING Finger Protein 53,BRCA1,,,,401,gene good,,,,,Cancer
Breast And Ovarian Cancer Susceptibility Protein 1,BRCA1,,,,402,gene good,,,,,Cancer
RING-Type E3 Ubiquitin Transferase BRCA1,BRCA1,,,,403,gene good,,,,,Cancer
EC 2.3.2.27,BRCA1,,,,404,gene good,,,,,Cancer
EC 6.3.2,BRCA1,,,,405,gene good,,,,,Cancer
BROVCA1,BRCA1,,,,406,gene good,,,,,Cancer
BRCAI,BRCA1,,,,407,gene good,,,,,Cancer
FANCS,BRCA1,,,,408,gene good,,,,,Cancer
PNCA4,BRCA1,,,,409,gene good,,,,,Cancer
"BRCA2_HUMAN
BRCC2",BRCA2,,,,410,gene good,,,,,Cancer
breast cancer 2 gene,BRCA2,,,,411,gene good,,,,,Cancer
"breast cancer 2, early onset gene",BRCA2,,,,412,gene good,,,,,Cancer
breast cancer type 2 susceptibility protein,BRCA2,,,,414,gene good,,,,,Cancer
breast cancer type 2 susceptibility gene,BRCA2,,,,415,gene good,,,,,Cancer
FACD,BRCA2,,,,416,gene good,,,,,Cancer
FAD,BRCA2,,,,417,gene good,,,,,Cancer
FAD1,BRCA2,,,,418,gene good,,,,,Cancer
FANCB,BRCA2,,,1,419,gene good,,,1,,Cancer
"BRCA2, DNA Repair Associated",BRCA2,,,,421,gene good,,,,,Cancer
"BRCA1/BRCA2-Containing Complex, Subunit 2",BRCA2,,,,422,gene good,,,,,Cancer
Fanconi Anemia Group D1 Protein,BRCA2,,,,423,gene good,,,,,Cancer
"Breast And Ovarian Cancer Susceptibility Gene, Early Onset",BRCA2,,,,424,gene good,,,,,Cancer
Breast And Ovarian Cancer Susceptibility Protein 2,BRCA2,,,,425,gene good,,,,,Cancer
"Fanconi Anemia, Complementation Group D1",BRCA2,,,,426,gene good,,,,,Cancer
Truncated Breast Cancer 2,BRCA2,,,,427,gene good,,,,,Cancer
Breast Cancer 2 Tumor Suppressor,BRCA2,,,,428,gene good,,,,,Cancer
BROVCA2,BRCA2,,,,429,gene good,,,,,Cancer
XRCC11,BRCA2,,,,430,gene good,,,,,Cancer
BRCC2,BRCA2,,,,431,gene good,,,,,Cancer
PNCA2,BRCA2,,,,432,gene good,,,,,Cancer
FANCD,BRCA2,,,1,433,gene good,,,,,Cancer
GLM3,BRCA2,,,,434,gene good,,,,,Cancer
BACH1,BRIP1,1,,1,435,gene good,,,,,Cancer
BRCA1-Interacting Protein C-Terminal Helicase 1,BRIP1,,,,436,gene good,,,,,Cancer
BRCA1-Associated C-Terminal Helicase 1,BRIP1,,,,438,gene good,,,,,Cancer
BRCA1/BRCA2-Associated Helicase 1,BRIP1,,,,439,gene good,,,,,Cancer
ATP-Dependent RNA Helicase BRIP1,BRIP1,,,,440,gene good,,,,,Cancer
BRCA1-Binding Helicase-Like Protein BACH1,BRIP1,,,,441,gene good,,,,,Cancer
Fanconi Anemia Group J Protein,BRIP1,,,,442,gene good,,,,,Cancer
EC 3.6.4.13,BRIP1,,,,443,gene good,,,,,Cancer
EC 3.6.1,BRIP1,,,,444,gene good,,,,,Cancer
Arc-1,CDH1,,,,445,gene good,,,,,Cancer
CADH1_HUMAN,CDH1,,,,446,gene good,,,,,Cancer
"cadherin 1, type 1",CDH1,,,,447,gene good,,,,,Cancer
"Calcium-Dependent Adhesion Protein, Epithelial",CDH1,,,1,448,gene good,,,,,Cancer
CAM 120/80,CDH1,,,,449,gene good,,,,,Cancer
CD324,CDH1,,,,450,gene good,,,,,Cancer
CDHE,CDH1,,,,451,gene good,,,,,Cancer
Cell-CAM 120/80,CDH1,,,,452,gene good,,,,,Cancer
ECAD,CDH1,,,,453,gene good,,,,,Cancer
LCAM,CDH1,,,,454,gene good,,,,,Cancer
liver cell adhesion molecule,CDH1,,,,455,gene good,,,,,Cancer
UVO,CDH1,,,,456,gene good,,,,,Cancer
uvomorulin,CDH1,,,,457,gene good,,,,,Cancer
"cadherin 1, type 1, E-cadherin (epithelial)",CDH1,,,,458,gene good,,,,,Cancer
CD324 Antigen,CDH1,,,,459,gene good,,,,,Cancer
multiple tumor suppressor 1,CDKN2A,,,,464,gene good,,,,,Cancer
cyclin-dependent kinase 4 inhibitor A,CDKN2A,,,,465,gene good,,,,,Cancer
cyclin-dependent kinase inhibitor 2A,CDKN2A,,,,466,gene good,,,,,Cancer
cyclin-dependent kinase inhibitor 2A isoform p12,CDKN2A,,,,467,gene good,,,,,Cancer
cyclin-dependent kinase inhibitor 2A isoform p14ARF,CDKN2A,,,,468,gene good,,,,,Cancer
cyclin-dependent kinase inhibitor 2A isoform p16INK4a,CDKN2A,,,,469,gene good,,,,,Cancer
cyclin-dependent kinase inhibitor 2A isoform p16gamma,CDKN2A,,,,470,gene good,,,,,Cancer
Cell Cycle Negative Regulator Beta,CDKN2A,,,,471,gene good,,,,,Cancer
Alternative Reading Frame,CDKN2A,,,,472,gene good,,,,,Cancer
CMM3,CDK4,,,,473,gene good,,,,,Cancer
PSK-J3,CDK4,,,,474,gene good,,,,,Cancer
Cyclin Dependent Kinase 4,CDK4,,,,475,gene good,,,,,Cancer
Cell Division Protein Kinase 4,CDK4,,,,476,gene good,,,,,Cancer
EC 2.7.11.22,CDK4,,,,477,gene good,,,,,Cancer
Cyclin-Dependent Kinase 4,CDK4,,,,478,gene good,,,,,Cancer
EC 2.7.11,CDK4,,,,479,gene good,,,,,Cancer
CDS1,CHEK2,,,,480,,,,,,Cancer
Cds1 kinase,CHEK2,,,,481,,,,,,Cancer
Checkpoint-Like Protein CHK2,CHEK2,,,,482,,,,,,Cancer
CHK2 checkpoint homolog (S. pombe),CHEK2,,,,483,,,,,,Cancer
Chk2 protein kinase,CHEK2,,,,484,,,,,,Cancer
CHK2_HUMAN,CHEK2,,,,485,,,,,,Cancer
hCds1 protein,CHEK2,,,,486,,,,,,Cancer
hCHK2,CHEK2,,,,487,,,,,,Cancer
HuCds1,CHEK2,,,,488,,,,,,Cancer
RAD53,CHEK2,,,,489,,,,,,Cancer
Serine/Threonine-Protein Kinase CHK2,CHEK2,,,,490,,,,,,Cancer
HCds1,CHEK2,,,,491,,,,,,Cancer
"CHK2 (Checkpoint, S.Pombe) Homolog",CHEK2,,,,492,,,,,,Cancer
EC 2.7.11.1,CHEK2,,,,493,,,,,,Cancer
EC 2.7.11,CHEK2,,,,494,,,,,,Cancer
PP1425,CHEK2,,,,495,,,,,,Cancer
LFS2,CHEK2,,,,496,,,,,,Cancer
17-1A,EPCAM,,,,497,gene good,,,,,Cancer
323/A3,EPCAM,,,,498,gene good,,,,,Cancer
CD326,EPCAM,,,,499,gene good,,,,,Cancer
CO-17A,EPCAM,,,,500,gene good,,,,,Cancer
EGP-2,EPCAM,,,,501,gene good,,,,,Cancer
EGP34,EPCAM,,,,502,gene good,,,,,Cancer
EGP40,EPCAM,,,,503,gene good,,,,,Cancer
Ep-CAM,EPCAM,,,,504,gene good,,,,,Cancer
epithelial cell adhesion molecule precursor,EPCAM,,,,505,gene good,,,,,Cancer
epithelial glycoprotein 314,EPCAM,,,,506,gene good,,,,,Cancer
ESA,EPCAM,,,,507,gene good,,,,,Cancer
GA733-2,EPCAM,,,,508,gene good,,,,,Cancer
HEA125,EPCAM,,,,509,gene good,,,,,Cancer
human epithelial glycoprotein-2,EPCAM,,,,510,gene good,,,,,Cancer
KS1/4,EPCAM,,,,511,gene good,,,,,Cancer
KSA,EPCAM,,,,512,gene good,,,,,Cancer
Ly74,EPCAM,,,,513,gene good,,,,,Cancer
M4S1,EPCAM,,,,514,gene good,,,,,Cancer
MH99,EPCAM,,,,515,gene good,,,,,Cancer
MIC18,EPCAM,,,,516,gene good,,,,,Cancer
MK-1,EPCAM,,,,517,gene good,,,,,Cancer
MOC31,EPCAM,,,,518,gene good,,,,,Cancer
TACST-1,EPCAM,,,,519,gene good,,,,,Cancer
TACSTD1,EPCAM,,,,520,gene good,,,,,Cancer
TROP1,EPCAM,,,,521,gene good,,,,,Cancer
tumor-associated calcium signal transducer 1,EPCAM,,,,522,gene good,,,,,Cancer
Major Gastrointestinal Tumor-Associated Protein GA733-2,EPCAM,,,,523,gene good,,,,,Cancer
Adenocarcinoma-Associated Antigen,EPCAM,,,,524,gene good,,,,,Cancer
"Membrane Component, Chromosome 4, Surface Marker (35kD Glycoprotein)",EPCAM,,,,525,gene good,,,,,Cancer
Antigen Identified By Monoclonal Antibody AUA1,EPCAM,,,,526,gene good,,,,,Cancer
Epithelial Cell Surface Antigen,EPCAM,,,,527,gene good,,,,,Cancer
Epithelial Glycoprotein,EPCAM,,,,528,gene good,,,,,Cancer
KS 1/4 Antigen,EPCAM,,,,529,gene good,,,,,Cancer
HEGP314,EPCAM,,,,530,gene good,,,,,Cancer
HNPCC8,EPCAM,,,,531,gene good,,,,,Cancer
DIAR5,EPCAM,,,,532,gene good,,,,,Cancer
M1S2,EPCAM,,,,533,gene good,,,,,Cancer
EGP,EPCAM,,,,534,gene good,,,,,Cancer
PSGD,HOXB13,,,,535,gene good,,,,,Cancer
C15DUPq,GREM1,,,,536,gene good,,,,,Cancer
CKTSF1B1,GREM1,,,,537,gene good,,,,,Cancer
CRAC1,GREM1,,,,538,gene good,,,,,Cancer
CRCS4,GREM1,,,,539,gene good,,,,,Cancer
DAND2,GREM1,,,,540,gene good,,,,,Cancer
DRM,GREM1,,,,541,gene good,,,,,Cancer
DUP15q,GREM1,,,,542,gene good,,,,,Cancer
GREMLIN,GREM1,,,,543,gene good,,,,,Cancer
HMPS,GREM1,,,,544,gene good,,,,,Cancer
HMPS1,GREM1,,,,545,gene good,,,,,Cancer
IHG-2,GREM1,,,,546,gene good,,,,,Cancer
MPSH,GREM1,,,,547,gene good,,,,,Cancer
PIG2,GREM1,,,,548,gene good,,,,,Cancer
"Gremlin 1, DAN Family BMP Antagonist",GREM1,,,,549,gene good,,,,,Cancer
"Cysteine Knot Superfamily 1, BMP Antagonist 1",GREM1,,,,550,gene good,,,,,Cancer
Down-Regulated In Mos-Transformed Cells Protein,GREM1,,,,551,gene good,,,,,Cancer
Cell Proliferation-Inducing Gene 2 Protein,GREM1,,,,552,gene good,,,,,Cancer
Colorectal Adenoma And Carcinoma 1,GREM1,,,,553,gene good,,,,,Cancer
DAN Domain Family Member 2,GREM1,,,,554,gene good,,,,,Cancer
"Gremlin 1, Cysteine Knot Superfamily, Homolog (Xenopus Laevis)",GREM1,,,,555,gene good,,,,,Cancer
Increased In High Glucose Protein 2,GREM1,,,,556,gene good,,,,,Cancer
Increased In High Glucose-2,GREM1,,,,557,gene good,,,,,Cancer
Gremlin 1-Like Protein,GREM1,,,,558,gene good,,,,,Cancer
Gremlin 1,GREM1,,,,559,gene good,,,,,Cancer
Gremlin-1,GREM1,,,,560,gene good,,,,,Cancer
Homeobox Protein Hox-B13,HOXB13,,,,561,gene good,,,,,Cancer
HXB13_HUMAN,HOXB13,,,,562,gene good,,,,,Cancer
Homeobox B13,HOXB13,,,,563,gene good,,,,,Cancer
Homeo Box B13,HOXB13,,,1,564,gene good,,,,,Cancer
COCA2,MLH1,,,,565,gene good,,,,,Cancer
FCC2,MLH1,,,,566,gene good,,,,,Cancer
HNPCC,MLH1,,,,567,gene good,,,,,Cancer
HNPCC2,MLH1,,,,568,gene good,,,,,Cancer
MLH1_HUMAN,MLH1,,,,569,gene good,,,,,Cancer
"mutL (E. coli) homolog 1 (colon cancer, nonpolyposis type 2)",MLH1,,,,570,gene good,,,,,Cancer
"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)",MLH1,,,,571,gene good,,,,,Cancer
MutL protein homolog 1,MLH1,,,,572,gene good,,,,,Cancer
MutL Homolog 1,MLH1,,,,573,gene good,,,,,Cancer
DNA Mismatch Repair Protein Mlh1,MLH1,,,,574,gene good,,,,,Cancer
COCA1,MSH2,,,,575,gene good,,,,,Cancer
HNPCC,MSH2,,,,576,gene good,,,,,Cancer
HNPCC1,MSH2,,,,577,gene good,,,,,Cancer
MSH2_HUMAN,MSH2,,,,578,gene good,,,,,Cancer
